Product ID,Product Name,Company Name,Product Type,Product Link,Product Image,Product Description,Keywords
33,Organic Cotton Long Sleeve Crop Tee,MATE the label,Shirt,https://matethelabel.com/products/organic-cotton-long-sleeve-crop-tee-bone,,"When it comes to tees, we think the perfect fit is not skin-tight. This long sleeve 100% Organic Cotton Jersey style is semi-cropped with a boxy silhouette that hits above the hips.","Mate The Label, Organic Cotton, Shirt, Long Sleeve, Crop Top, Clothes"
34,Organic Cotton Raw Neck Boxy Tee,MATE the label,Shirt,https://matethelabel.com/products/organic-cotton-raw-neck-boxy-tee-jet-black,,"We brought the past to the present with this vintage-inspired crew neck tee made with 100% Organic Cotton Jersey. Its super relaxed fit, slouchy shoulders, and raw edge neckband give it a lived-in look that will make you instantly feel like you've known each other for years.","Mate The Label, Organic Cotton, Shirt, Boxy Tee, Clothes"
35,Organic Cotton V Neck Tee,MATE the label,Shirt,https://matethelabel.com/collections/tees/products/organic-cotton-v-neck-tee-jet-black,,Our relaxed fit classic v neck tee is made with 100% Organic Cotton Jersey.,"Mate The Label, Organic Cotton, Shirt, V Neck Tee, Clothes"
36,Fleece Pocket Short,MATE the label,Shorts,https://matethelabel.com/products/fleece-pocket-short-lavender,,Our Fleece Pocket Short's relaxed style and super soft 50% Organic Cotton 50% Cotton Fleece blend make it a must-have for lounging or running around in total comfort. An internal drawcord allows you to get the perfect fit with no strings dangling on the outside.,"Mate The Label, Organic Cotton, Cotton Fleece, Shorts, Clothes "
37,Linen Short,MATE the label,Shorts,https://matethelabel.com/products/linen-short-sedona,,"When in doubt, just breathe. These mid-rise 100% Natural Linen shorts make it easy. Super relaxed with a soft elastic waist, a flattering butterfly-shaped hem, and convenient back pockets.","Mate The Label, Natural Linen, Shorts, Clothes "
38,Fleece Relaxed Pocket Sweatpants,MATE the label,Pants,https://matethelabel.com/products/fleece-relaxed-pocket-sweatpant-lavender,,"This updated version of our bestselling sweatpant has the same relaxed fit and athleisure style as the original but now features pockets thanks to popular demand. A drawcord waistband and leg cuffs ensure the perfect fit. Still made in our super soft blend of 50% Organic Cotton, 50% Cotton Fleece.","Mate The Label, Organic Cotton, Cotton Fleece, Sweatpants, Pants, Clothes "
39,Tencel Sleep Short,MATE the label,Shorts,https://matethelabel.com/products/tencel-sleep-short-rose,,"The sleep short you've been dreaming of is made with a blend of 70% Tencel and 30% Organic Cotton. This relaxed mid-rise short is designed to flatter with a curved butterfly-shaped hem, back pockets, and soft elastic waist.","Mate The Label, Tencel, Organic Cotton, Shorts, Sleepwear, Pajamas, PJs, Clothes "
40,Organic Terry Lounge Short,MATE the label,Shorts,https://matethelabel.com/collections/bottoms/products/organic-terry-lounge-short-rose,,"Our 100% Organic Cotton Terry short features a drawstring waist, trouser pockets, and raw edge detailing. Lounge-ready but still very errand appropriate.","Mate The Label, Organic Cotton, Shorts, Casual, PJs, Clothes "
41,Organic Stretch Biker Short,MATE the label,Shorts,https://matethelabel.com/collections/bottoms/products/organic-stretch-biker-short-sage,,"Our high rise Organic Stretch Biker Short is designed for low to medium impact exercise, but it's so comfy you'll want to wear it everywhere. Good thing it looks just as cute at yoga class as it does paired with an oversized sweater at brunch. Most activewear is notoriously bad for the environment because it's made from synthetic materials that shed microplastics when washed. Our Organic Stretch is an entirely different story. While it's impossible to get the necessary stretch for activewear from pure cotton, we got pretty damn close with a blend of 92% Organic Cotton and only 8% Spandex.","Mate The Label, Organic Cotton, Spandex, Biker Shorts, Clothes"
42,Organic Stretch Legging,MATE the label,Pants,https://matethelabel.com/collections/bottoms/products/organic-stretch-legging-sage,,"Our high rise Organic Stretch Legging is made to move and breathe with your body for whatever low to medium impact exercise you're currently feeling. Yoga, pilates, or hiking, you can squat, lunge, or downward dog to your heart's content. Most activewear is notoriously bad for the environment because it's made from synthetic materials that shed microplastics when washed. Our Organic Stretch is an entirely different story. While it's impossible to get the necessary stretch for activewear from pure cotton, we got pretty damn close with a blend of 92% Organic Cotton and only 8% Spandex.","Mate The Label, Organic Cotton, Spandex, Leggings, Athleticwear, Clothes"
43,Organic Thermal Wide Leg Pant,MATE the label,Pants,https://matethelabel.com/collections/bottoms/products/organic-thermal-wide-leg-pant-bone,,"A relaxed fit, elastic mid-rise waistband, and adjustable drawstring make it super simple to slip into these 100% Organic Cotton Thermal cropped pants and feel comfortable in your own skin.","Mate The Label, Organic Cotton Thermal, Pants, Wide Leg, Clothes"
44,Organic Terry Classic Jogger,MATE the label,Pants,https://matethelabel.com/collections/bottoms/products/organic-terry-classic-jogger-rose,,"Not too loose, not too tight, but juuust right. These 100% Organic Cotton Terry joggers are the definition of a feel-good classic. An adjustable drawstring waistband ensures the perfect, comfy fit and trouser pockets are ready to hold your essentials.","Mate The Label, Organic Cotton French Terry, Pants, Joggers, Clothes"
45,Linen High Waisted Pant,MATE the label,Pants,https://matethelabel.com/collections/bottoms/products/linen-high-waisted-pant-natural,,Up your cool factor with this pair of 100% Natural Linen high rise pants featuring a soft elastic waist and front pockets. The cropped silhouette is designed to hit right above the ankle.,"Mate The Label, Natural Linen, Pants, High Waisted, Clothes"
46,Linen Long Sleeve Jumpsuit,MATE the label,Jumpsuit,https://matethelabel.com/products/linen-long-sleeve-jumpsuit-jet-black,,"Form meets function, utilitarian meets Linen. This breezy rendition has all the design elements of the classic utility jumpsuit: long sleeves, collar, covered button placket, and patch pockets—but it's crafted in 100% Natural Linen for a natural twist.","Mate The Label, Natural Linen, Jumpsuit, Clothes"
47,Linen Short Sleeve Jumpsuit,MATE the label,Jumpsuit,https://matethelabel.com/products/linen-short-sleeve-jumpsuit-sedona,,"Our version of the classic utility jumpsuit is made fresh and breezy in 100% Natural Linen. The standard collar, hidden button placket, and patch pockets make the look, but the comfy fabric and relaxed fit is what will make you want to wear it again and again.","Mate The Label, Natural Linen, Jumpsuit, Clothes"
48,Organic Thermal Crew Neck,MATE the label,Sweaters,https://matethelabel.com/products/organic-thermal-crew-neck-latte,,This oh-so-cozy 100% Organic Cotton Thermal long sleeve crew has a relaxed fit and detailed ribbing at the neck and sleeve cuff. It's the ideal top for layering or laying around (when you're not out saving the planet).,"Mate The Label, Organic Cotton Thermal, Thermals, Sweater, Crew Neck, Clothes"
49,Fleece Raw Neck Sweatshirt,MATE the label,Sweaters,https://matethelabel.com/products/fleece-raw-neck-sweatshirt-heather-grey,,"The details are what elevate this 50% Organic Cotton, 50% Cotton Fleece sweatshirt to an everyday favorite. A double raw edge neckline and oversized fit give this style a cozy, lived-in vibe that looks as good as it feels.","Mate The Label, Organic Cotton, Cotton Fleece, Sweatshirt, Fleece, Clothes"
50,Organic Stretch Sports Bra,MATE the label,Undergarment,https://matethelabel.com/collections/sets/products/organic-stretch-sports-bra-jet-black,,"Our Organic Stretch Sports Bra is for low to medium impact exercise, and stretches for easy on and off (even after a killer arm workout). It's constructed with double-layered fabric and is unpadded while providing coverage and support. Most activewear is notoriously bad for the environment because it's made from synthetic materials that shed microplastics when washed. Our Organic Stretch is an entirely different story. While it's impossible to get the necessary stretch for activewear from pure cotton, we got pretty damn close with a blend of 92% Organic Cotton and only 8% Spandex.","Mate The Label, Organic Cotton, Spandex, Bra, Undergarment, Activewear, Clothes"
